Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,GUZZINATI,VINCENNES,OUI,NON,MARDI 01 JANVIER 2013
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,OUVRIE,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,BAZIRE,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,BARRIER,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
OUI,NON,NON,,VIEUX,,OUI,OUI,H,LONG,DUVALDESTIN,VINCENNES,NON,OUI,MARDI 01 JANVIER 2013
OUI,OUI,OUI,,MEDIUM,,OUI,NON,H,COURT,BAZIRE,VINCENNES,NON,OUI,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,NON,H,COURT,VERBEECK,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,NON,H,COURT,NIVARD,VINCENNES,OUI,NON,MARDI 01 JANVIER 2013
OUI,OUI,OUI,,MEDIUM,,OUI,OUI,H,COURT,DREUX,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,OUI,H,COURT,ABRIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
OUI,OUI,OUI,,MEDIUM,,OUI,NON,F,COURT,ABRIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,NON,F,COURT,GUZZINATI,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,NON,M,COURT,BAZIRE,VINCENNES,OUI,OUI,MARDI 01 JANVIER 2013
NON,OUI,OUI,,MEDIUM,,OUI,NON,M,COURT,NIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
OUI,OUI,OUI,,MEDIUM,,OUI,NON,M,COURT,ABRIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2013
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,BATY,VINCENNES,NON,OUI,MARDI 01 JANVIER 2013
