Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
OUI,NON,NON,NON,NON,NON,6,NON,NON,F,2700,ABRIVARD,VINCENNES,
OUI,NON ,OUI,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON ,OUI,OUI,NON,NON,7,NON,NON,M,2850,DREUX,VINCENNES,
OUI,NON ,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
OUI,NON ,OUI,NON,NON,NON,7,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON ,OUI,OUI,NON,NON,8,OUI,OUI,H,2850,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,6,NON,NON,M,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,6,NON,OUI,F,2100,AUTRES,VINCENNES,
NON,OUI,OUI,OUI,NON,NON,8,NON,NON,M,2100,NIVARD,VINCENNES,
OUI,OUI,NON,NON,NON,NON,6,NON,NON,M,2100,BIGEON,VINCENNES,
NON,OUI,OUI,NON,NON,NON,8,NON,NON,F,2100,RAFFIN,VINCENNES,
OUI,OUI,OUI,OUI,NON,NON,6,NON,NON,F,2100,BIGEON,VINCENNES,
NON,OUI,OUI,OUI,NON,NON,6,OUI,NON,F,2100,RAFFIN,VINCENNES,
NON,OUI,OUI,OUI,NON,NON,6,NON,NON,F,2100,BAZIRE,VINCENNES,
NON,OUI,OUI,NON,NON,NON,6,NON,NON,F,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,6,NON,NON,F,2100,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,OUI,OUI,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,8,NON,NON,M,2700,AUTRES,VINCENNES,
NON,NON,OUI,OUI,NON,NON,8,NON,NON,M,2700,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,8,NON,NON,M,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,OUI,OUI,NON,NON,6,NON,NON,M,2850,AUTRES,VINCENNES,
NON,NON ,OUI,OUI,NON,NON,8,NON,NON,H,2850,RAFFIN,VINCENNES,
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,OUI,NON,NON,NON,6,NON,NON,H,2850,VERCRUYSSE,VINCENNES,
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,M,2100,NIVARD,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,7,OUI,OUI,H,2100,AUTRES,VINCENNES,
OUI,OUI,OUI,OUI,NON,NON,7,NON,OUI,M,2100,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,7,NON,OUI,F,2100,AUTRES,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,9,NON,NON,H,2100,AUTRES,VINCENNES,
