Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
A. Barrier;NON;2100;NON;OUI;NON;6;F;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;NON;7;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2100;OUI;OUI;NON;6;F;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2100;NON;OUI;NON;7;M;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
L.Cl. Abrivar;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
Et. Lefranc;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
C. Megissier;OUI;2850;NON;NON;NON;5;M;OUI;NON;OUI;NON;VINCENNES;
Th. Duvaldest;OUI;2850;NON;NON;NON;7;M;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J. Dubois;NON;2850;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;VINCENNES;
M. Mottier;NON;2700;NON;NON;NON;3;F;NON;NON;NON;OUI;VINCENNES;
D. Thomain;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;OUI;2850;OUI;NON;NON;7;F;OUI;NON;OUI;NON;VINCENNES;
J.W. Hallais;OUI;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
S. Roger;OUI;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
S. Ernault;NON;2850;OUI;NON;NON;8;F;OUI;NON;OUI;NON;VINCENNES;
F. Nivard;OUI;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
