;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;E. Raffin;NON;2100;OUI;OUI;OUI;4;M;NON;NON;NON;NON;;
;Ch.J. Bigeon;OUI;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;D. Brohier;OUI;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;P.Y. Verva;NON;2700;NON;NON;OUI;6;F;NON;NON;NON;NON;;
;F. Nivard;NON;2850;OUI;NON;OUI;6;H;NON;OUI;OUI;NON;;
;J.L.Cl. Derso;OUI;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;F.P. Bossuet;OUI;2850;NON;NON;NON;6;H;OUI;NON;OUI;NON;;
;P. Vercruysse;NON;2850;NON;NON;OUI;5;M;NON;NON;OUI;NON;;
;J.Et. Dubois;OUI;2850;OUI;NON;NON;6;M;NON;NON;NON;NON;;
;A. Abrivard;OUI;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;7;F;NON;NON;NON;NON;;
;P. Levesque;NON;2700;NON;NON;OUI;6;F;NON;NON;OUI;NON;;
;M. Abrivard;OUI;2700;NON;NON;NON;6;F;NON;NON;NON;NON;;
;J.L.Cl. Derso;OUI;2850;NON;NON ;OUI;6;H;NON;NON;OUI;NON;;
;Ch. Dreux;OUI;2850;NON;NON ;OUI;7;M;NON;NON;OUI;NON;;
;F.P. Bossuet;OUI;2850;NON;NON ;NON;6;F;NON;NON;NON;NON;;
;Ch. Martens;OUI;2850;NON;NON ;OUI;7;F;NON;NON;NON;NON;;
;S. Ernault;NON;2850;OUI;NON ;OUI;8;H;OUI;NON;OUI;NON;;
;J. Dubois;NON;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;;
;A. Barrier;NON;2100;OUI;OUI;NON;6;F;NON;NON;NON;NON;;
;F. Nivard;NON;2100;NON;OUI;OUI;8;M;NON;NON;OUI;NON;;
;Ch.J. Bigeon;OUI;2100;NON;OUI;NON;6;M;NON;NON;NON;NON;;
;E. Raffin;NON;2100;NON;OUI;OUI;8;F;NON;NON;NON;NON;;
;Ch.J. Bigeon;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;;
;E. Raffin;NON;2100;NON;OUI;OUI;6;F;OUI;NON;OUI;NON;;
;J.M. Bazire;NON;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;;
;T. Le Beller;NON;2100;NON;OUI;OUI;6;F;NON;NON;NON;NON;;
;D. Locqueneux;NON;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;;
