Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON, ,OUI, ,JEUNE,NON,NON,M,COURT,LEVESQUE,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,JEUNE,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,JEUNE,,NON,M,COURT,,VINCENNES,2 JANVIER 2016
OUI,NON,OUI, ,, ,JEUNE,,NON,H,COURT,,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,JEUNE,,NON,H,COURT,VERVA,VINCENNES,2 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,NON,F,LONG,DREUX,VINCENNES,2 JANVIER 2016
NON,NON,NON, ,, ,MEDIUM,,NON,F,LONG,ABRIVARD,VINCENNES,2 JANVIER 2016
OUI,NON,NON, ,, ,MEDIUM,,OUI,F,LONG,,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,BAZIRE,VINCENNES,2 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,OUI,F,LONG,NIVARD,VINCENNES,2 JANVIER 2016
NON,NON,OUI,NON,,OUI,MEDIUM,,NON,H,COURT,OUVRIE,VINCENNES,2 JANVIER 2017
OUI,NON,OUI,NON,,NON,MEDIUM,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI,NON,,NON,MEDIUM,,NON,F,COURT,RAFFIN,VINCENNES,2 JANVIER 2017
NON,NON,OUI,NON,,OUI,MEDIUM,,NON,F,COURT,ABRIVARD,VINCENNES,2 JANVIER 2017
OUI,NON,OUI,OUI,,NON,MEDIUM,,NON,F,COURT,BAZIRE,VINCENNES,2 JANVIER 2017
NON,NON,OUI,NON,,OUI,JEUNE,,NON,M,COURT,,VINCENNES,2 JANVIER 2017
OUI,NON,OUI,NON,,NON,JEUNE,,NON,M,COURT,VERCRUYSSE,VINCENNES,2 JANVIER 2017
NON,NON,NON,NON,,OUI,JEUNE,,NON,M,COURT,,VINCENNES,2 JANVIER 2017
NON,NON,OUI,NON,,NON,JEUNE,,NON,M,COURT,NIVARD,VINCENNES,2 JANVIER 2017
NON,NON,OUI,OUI,,NON,JEUNE,,NON,H,COURT,ABRIVARD,VINCENNES,2 JANVIER 2017
OUI,OUI,NON,NON,,OUI,JEUNE,,NON,F,COURT,,VINCENNES,2 JANVIER 2017
